commit	rmse	r2	status	description
73ce573	0.841665	0.107158	baseline	baseline
73ce573	0.838728	0.113378	keep	ridge alpha 10
73ce573	0.837978	0.114963	keep	ridge alpha 100
73ce573	0.837258	0.116484	keep	ridge alpha 300
73ce573	0.839931	0.110833	keep	ridge alpha 1000
73ce573	0.842871	0.104596	keep	elasticnet alpha 0.01 l1 0.2
73ce573	0.880862	0.022060	keep	ridge with pairwise interactions
73ce573	0.859952	0.067938	keep	gradient boosting shallow trees
73ce573	0.841139	0.108273	keep	random forest regularized
73ce573	0.837431	0.116117	keep	ridge alpha 500
73ce573	0.837479	0.116017	keep	ridge alpha 200
73ce573	0.837233	0.116537	keep	ridge alpha 350
73ce573	0.837239	0.116524	keep	ridge alpha 375
3e076ff	0.837233	0.116537	keep	rerun final ridge alpha 350
120272b	0.837233	0.116537	baseline	dry run final ridge alpha 350
120272b	0.837233	0.116537	keep	history-preserving dry run ridge alpha 350
4307930	0.837233	0.116537	keep	dry run experiment set completion ridge alpha 350
4307930	0.841665	0.107158	baseline	dry baseline hist gradient boosting restart
4307930	0.837547	0.115873	discard	dry bayesian ridge learned shrinkage
4307930	0.862785	0.061786	discard	dry huber robust regression
4307930	0.855490	0.077585	discard	dry distance weighted knn 35
4307930	0.836208	0.118698	keep	dry extra trees regularized
4307930	0.857496	0.073254	discard	dry adaboost shallow trees
4307930	0.845629	0.098728	discard	dry rbf kernel ridge
4307930	0.837762	0.115419	discard	dry bagged ridge feature subsamples
4307930	0.838050	0.114810	discard	dry tweedie log link xg
4307930	0.831110	0.129411	keep	dry voting ridge extra trees
4307930	0.830723	0.130221	keep	dry voting ridge extra trees even weights
4307930	0.831067	0.129501	discard	dry voting ridge extra trees ridge heavy
4307930	0.839036	0.112726	discard	dry stacked ridge extra trees passthrough
a459bea	0.830654	0.130365	keep	ridge alpha 325
a459bea	0.830524	0.130638	keep	ridge alpha 275
a459bea	0.830405	0.130888	keep	ridge alpha 225
a459bea	0.830298	0.131111	keep	ridge alpha 175
a459bea	0.830206	0.131304	keep	ridge alpha 125
a459bea	0.830131	0.131460	keep	ridge alpha 75
a459bea	0.830077	0.131573	keep	ridge alpha 25
a459bea	0.830066	0.131597	keep	ridge alpha 10
a459bea	0.830060	0.131609	keep	ridge alpha 1
a459bea	0.830059	0.131610	keep	ridge alpha 0.1
a459bea	0.830059	0.131610	discard	ridge alpha 0.01
9abdfad	0.843050	0.104218	discard	nonridge extra trees bootstrap shallow
9abdfad	0.838390	0.114092	discard	nonridge hist gradient boosting l2 shallow
9abdfad	0.859101	0.069783	discard	nonridge gradient boosting subsampled shallow
9abdfad	0.840292	0.110069	discard	nonridge random forest regularized half features
9abdfad	0.834509	0.122276	discard	nonridge voting trees hist gradient blend
e4fdc25	0.830337	0.131030	discard	ridge-focused w_35
e4fdc25	0.830095	0.131537	discard	ridge-focused w_40
e4fdc25	0.830002	0.131730	keep	ridge-focused w_45
e4fdc25	0.830059	0.131610	discard	ridge-focused w_50
e4fdc25	0.830267	0.131176	discard	ridge-focused w_55
e4fdc25	0.830624	0.130429	discard	ridge-focused w_60
e4fdc25	0.831130	0.129368	discard	ridge-focused w_65
e4fdc25	0.831786	0.127993	discard	ridge-focused w_70
e4fdc25	0.832591	0.126305	discard	ridge-focused w_75
e4fdc25	0.833544	0.124303	discard	ridge-focused w_80
e4fdc25	17172171056781.832031	-371660752207029045894840320.000000	discard	ridge-focused alpha_0
e4fdc25	0.830059	0.131610	discard	ridge-focused alpha_001
e4fdc25	0.830059	0.131610	discard	ridge-focused alpha_01
e4fdc25	0.830060	0.131609	discard	ridge-focused alpha_1
e4fdc25	0.830062	0.131604	discard	ridge-focused alpha_5
e4fdc25	0.830077	0.131573	discard	ridge-focused alpha_25
e4fdc25	0.830072	0.131585	discard	ridge-focused tree_leaf_8
e4fdc25	0.830187	0.131344	discard	ridge-focused tree_leaf_10
e4fdc25	0.830261	0.131189	discard	ridge-focused tree_leaf_12
e4fdc25	0.829748	0.132261	keep	ridge-focused tree_leaf_18
e4fdc25	0.830584	0.130513	discard	ridge-focused tree_leaf_22
e4fdc25	0.832287	0.126944	discard	ridge-focused tree_depth_8
e4fdc25	0.831308	0.128995	discard	ridge-focused tree_depth_9
e4fdc25	0.829051	0.133718	keep	ridge-focused tree_depth_11
e4fdc25	0.828508	0.134853	keep	ridge-focused tree_depth_12
e4fdc25	0.831620	0.128343	discard	ridge-focused tree_mf_50
e4fdc25	0.831372	0.128861	discard	ridge-focused tree_mf_60
e4fdc25	0.829948	0.131843	discard	ridge-focused tree_mf_80
e4fdc25	0.829940	0.131860	discard	ridge-focused tree_mf_90
e4fdc25	0.829718	0.132325	discard	ridge-focused tree_n_250
e4fdc25	0.830219	0.131277	discard	ridge-focused tree_n_600
e4fdc25	0.828571	0.134721	discard	ridge-focused robust_base
e4fdc25	0.830229	0.131255	discard	ridge-focused w_45_leaf_12
e4fdc25	0.829651	0.132465	discard	ridge-focused w_45_leaf_18
e4fdc25	0.830444	0.130806	discard	ridge-focused w_55_leaf_12
e4fdc25	0.829994	0.131747	discard	ridge-focused w_55_leaf_18
e4fdc25	0.831739	0.128092	discard	ridge-focused w_60_mf_60
e4fdc25	0.830480	0.130731	discard	ridge-focused w_60_mf_80
e4fdc25	0.831571	0.128444	discard	ridge-focused w_40_mf_60
e4fdc25	0.830044	0.131643	discard	ridge-focused w_40_mf_80
e4fdc25	0.828508	0.134853	discard	final ridge extra trees depth 12
5004d0a	0.828508	0.134853	discard	batch2 constants baseline ridge extra trees
5004d0a	0.828667	0.134522	discard	batch2 tree weight 048
5004d0a	0.828371	0.135140	keep	batch2 tree weight 052
6311498	0.828255	0.135382	keep	batch2 tree weight 054
f767a77	0.828160	0.135579	keep	batch2 tree weight 056
1cc6f42	0.828087	0.135732	keep	batch2 tree weight 058
5506b0a	0.828036	0.135840	keep	batch2 tree weight 060
4db40c3	0.828005	0.135903	keep	batch2 tree weight 062
c343ca0	0.827996	0.135921	keep	batch2 tree weight 064
c02c4da	0.828009	0.135895	discard	batch2 tree weight 066
c02c4da	0.827533	0.136889	keep	batch2 tree weight 064 leaf 14
c73b49e	0.827533	0.136888	discard	batch2 tree weight 064 leaf 13
c73b49e	0.827541	0.136872	discard	batch2 tree weight 064 leaf 12
c73b49e	0.827345	0.137282	keep	batch2 tree weight 064 leaf 16
d2ffeae	0.825859	0.140377	keep	batch2 tree weight 064 leaf 18
1f38135	0.826835	0.138345	discard	batch2 tree weight 064 leaf 20
1f38135	0.825927	0.140235	discard	batch2 tree weight 062 leaf 18
1f38135	0.825813	0.140473	keep	batch2 tree weight 066 leaf 18
2e95110	0.825252	0.141639	keep	batch2 tree weight 066 leaf 18 mf 075
7523859	0.826001	0.140081	discard	batch2 tree weight 066 leaf 18 mf 080
0fa7f4a	0.825273	0.141596	discard	batch3 tw 065 leaf 18 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.825237	0.141671	keep	batch3 tw 067 leaf 18 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.825228	0.141690	keep	batch3 tw 068 leaf 18 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.825224	0.141698	keep	batch3 tw 069 leaf 18 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.825226	0.141693	discard	batch3 tw 070 leaf 18 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.825248	0.141648	discard	batch3 tw 072 leaf 18 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.825811	0.140477	discard	batch3 tw 066 leaf 17 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.826943	0.138119	discard	batch3 tw 066 leaf 19 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.827024	0.137949	discard	batch3 tw 066 leaf 21 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.827375	0.137219	discard	batch3 tw 066 leaf 22 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.827073	0.137849	discard	batch3 tw 066 leaf 24 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.827035	0.137927	discard	batch3 tw 066 leaf 26 mf 075 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.826445	0.139156	discard	batch3 tw 066 leaf 18 mf 072 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.826445	0.139156	discard	batch3 tw 066 leaf 18 mf 073 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.825045	0.142070	keep	batch3 tw 066 leaf 18 mf 074 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.825252	0.141639	discard	batch3 tw 066 leaf 18 mf 076 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.825248	0.141649	discard	batch3 tw 066 leaf 18 mf 077 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.825248	0.141649	discard	batch3 tw 066 leaf 18 mf 078 depth 12 n 400 alpha 0.1 seed 42
0fa7f4a	0.830332	0.131041	discard	batch3 tw 066 leaf 18 mf 075 depth 10 n 400 alpha 0.1 seed 42
0fa7f4a	0.828335	0.135216	discard	batch3 tw 066 leaf 18 mf 075 depth 11 n 400 alpha 0.1 seed 42
0fa7f4a	0.824841	0.142494	keep	batch3 tw 066 leaf 18 mf 075 depth 13 n 400 alpha 0.1 seed 42
0fa7f4a	0.823380	0.145531	keep	batch3 tw 066 leaf 18 mf 075 depth 14 n 400 alpha 0.1 seed 42
0fa7f4a	0.823113	0.146084	keep	batch3 tw 066 leaf 18 mf 075 depth 15 n 400 alpha 0.1 seed 42
0fa7f4a	0.823521	0.145238	discard	batch3 tw 066 leaf 18 mf 075 depth none n 400 alpha 0.1 seed 42
0fa7f4a	0.825312	0.141514	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 250 alpha 0.1 seed 42
0fa7f4a	0.825504	0.141116	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 300 alpha 0.1 seed 42
0fa7f4a	0.825279	0.141584	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 500 alpha 0.1 seed 42
0fa7f4a	0.825348	0.141440	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 600 alpha 0.1 seed 42
0fa7f4a	0.825295	0.141550	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 800 alpha 0.1 seed 42
0fa7f4a	0.825252	0.141640	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 400 alpha 0.01 seed 42
0fa7f4a	0.825252	0.141639	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 400 alpha 0.05 seed 42
0fa7f4a	0.825253	0.141638	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 400 alpha 0.5 seed 42
0fa7f4a	0.825253	0.141637	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 400 alpha 1 seed 42
0fa7f4a	0.825258	0.141627	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 400 alpha 5 seed 42
0fa7f4a	0.825283	0.141576	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 400 alpha 25 seed 42
0fa7f4a	0.826027	0.140027	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 400 alpha 0.1 seed 7
0fa7f4a	0.825831	0.140435	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 400 alpha 0.1 seed 13
0fa7f4a	0.825769	0.140564	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 400 alpha 0.1 seed 21
0fa7f4a	0.825115	0.141924	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 400 alpha 0.1 seed 84
0fa7f4a	0.825951	0.140186	discard	batch3 tw 066 leaf 18 mf 075 depth 12 n 400 alpha 0.1 seed 123
0fa7f4a	0.825265	0.141614	discard	batch3 tw 067 leaf 18 mf 075 depth 12 n 500 alpha 0.1 seed 42
0fa7f4a	0.825256	0.141632	discard	batch3 tw 068 leaf 18 mf 075 depth 12 n 500 alpha 0.1 seed 42
0fa7f4a	0.825444	0.141240	discard	batch3 tw 066 leaf 18 mf 074 depth 12 n 500 alpha 0.1 seed 42
0fa7f4a	0.825279	0.141584	discard	batch3 tw 066 leaf 18 mf 076 depth 12 n 500 alpha 0.1 seed 42
0fa7f4a	0.826980	0.138042	discard	batch3 tw 067 leaf 19 mf 075 depth 12 n 500 alpha 0.1 seed 42
0fa7f4a	0.825640	0.140833	discard	batch3 tw 067 leaf 17 mf 075 depth 12 n 500 alpha 0.1 seed 42
